name,rating,rating_values,reviews,jobs,interviews
Dell,3.8,"Work Life Balance, Company Culture",4.5k,57,424
Havells,3.9,"Work Life Balance, Salary & Benefits",4.5k,40,290
OPPO,3.9,Skill Development / Learning,4.4k,5,250
R1 RCM,3.8,Job Security,4.4k,167,356
Intas Pharmaceuticals,4.1,"Job Security, Salary & Benefits, Work Life Balance",4.4k,69,261
Tata AIA Life Insurance,3.9,"Job Security, Skill Development / Learning, Salary & Benefits",4.4k,419,251
Hyundai Motor India Limited,4.1,"Job Security, Salary & Benefits, Work Life Balance",4.4k,3,322
Deutsche Bank,3.8,"Work Life Balance, Job Security, Company Culture",4.3k,442,420
Hetero,3.9,"Job Security, Work Life Balance",4.3k,162,306
Motilal Oswal Financial Services,3.7,Skill Development / Learning,4.3k,50,541
Berger Paints,3.7,"Promotions / Appraisal, Company Culture, Work Life Balance",4.3k,135,428
TeamLease Services,3.9,Work Life Balance,4.3k,2,249
VE Commercial Vehicles,3.9,"Job Security, Skill Development / Learning",4.2k,7,285
Lenskart,3.3,"Promotions / Appraisal, Company Culture, Work Life Balance",4.2k,157,446
Thermax Limited,4.2,"Job Security, Company Culture, Skill Development / Learning",4.2k,84,338
Bajaj Auto,3.8,Promotions / Appraisal,4.1k,--,324
Macleods Pharmaceuticals,3.7,Job Security,4.1k,13,268
Kogta Financial India Limited,4.7,"Company Culture, Work Life Balance, Work Satisfaction",4.1k,116,246
Aakash Educational Services,3.2,"Promotions / Appraisal, Work Life Balance, Job Security",4.1k,74,367
Jubilant Foods Works,3.7,Promotions / Appraisal,4.1k,208,250
LG Electronics,3.9,"Job Security, Skill Development / Learning",4.1k,--,260
Jindal Steel Limited,3.9,Skill Development / Learning,4k,38,415
Hindalco Industries,4.2,"Job Security, Work Life Balance, Skill Development / Learning",4k,13,302
Royal Enfield,4.2,"Work Life Balance, Skill Development / Learning, Company Culture",4k,14,202
DCB Bank,3.8,Work Life Balance,4k,21,227
Tata Communications,3.9,"Work Life Balance, Company Culture, Job Security",4k,317,300
HDFC Ergo General Insurance,4.0,"Company Culture, Work Life Balance, Job Security",4k,21,197
State Street Corporation,3.5,"Promotions / Appraisal, Salary & Benefits, Company Culture",4k,5,288
John Deere,4.0,"Company Culture, Work Life Balance, Skill Development / Learning",4k,1,267
RBL Bank,3.5,"Promotions / Appraisal, Company Culture, Work Satisfaction",3.9k,56,239
